通脊,10,11,12,猪肉类,斤,2021/5/30
,,,,,,
纯瘦肉,11,11.5,12,猪肉类,斤,2021/5/30
,,,,,,
胭脂杏,3,3.5,4,桃李杏类,斤,2021/5/30
,,,,,,
李子,8,10,12,桃李杏类,斤,2021/5/30
,,,,,,
秦杏,3,3.5,4,桃李杏类,斤,2021/5/30
,,,,,,
金太阳,1.5,2,2.5,桃李杏类,斤,2021/5/30
,,,,,,
丰源红,2,2.5,3,桃李杏类,斤,2021/5/30
,,,,,,
凯特杏、白杏,9,10,11,桃李杏类,斤,2021/5/30
,,,,,,
无籽小号-大号,1.8,1.9,2,西瓜类,斤,2021/5/30
,,,,,,
麒麟、甜蜜蜜,1.8,2.1,2.4,西瓜类,斤,2021/5/30
,,,,,,
黑美人,1.6,1.8,2,西瓜类,斤,2021/5/30
,,,,,,
特小风,2,2.25,2.5,西瓜类,斤,2021/5/30
,,,,,,
L600吊秧瓜,2,2.5,3,西瓜类,斤,2021/5/30
,,,,,,
甜王,1.2,1.4,1.6,西瓜类,斤,2021/5/30
,,,,,,
蜜童,2,2.15,2.3,西瓜类,斤,2021/5/30
,,,,,,
墨童西瓜,2,2.15,2.3,西瓜类,斤,2021/5/30
,,,,,,
绿宝（p2）,1.8,1.9,2,西瓜类,斤,2021/5/30
,,,,,,
国产香蕉,2.2,2.6,3,香蕉类,斤,2021/5/30
,,,,,,
南美、菲律宾香蕉,2.5,3,3.5,香蕉类,斤,2021/5/30
,,,,,,
泰国香蕉（帝王蕉）,8,8.5,9,香蕉类,斤,2021/5/30
,,,,,,
晓蜜25号,2,2.2,2.4,甜瓜类,斤,2021/5/30
,,,,,,
黄金瓜／金蜜,2,2.1,2.2,甜瓜类,斤,2021/5/30
,,,,,,
前肘,11,11.5,12,猪肉类,斤,2021/5/30
,,,,,,
后肘,9.5,10.25,11,猪肉类,斤,2021/5/30
,,,,,,
猪尾巴,43,44,45,猪肉类,斤,2021/5/30
,,,,,,
猪蹄,18,18,18,猪肉类,斤,2021/5/30
,,,,,,
纯排骨,21,22.5,24,猪肉类,斤,2021/5/30
,,,,,,
纯腔骨,9,10.5,12,猪肉类,斤,2021/5/30
,,,,,,
腔排骨,14,15,16,猪肉类,斤,2021/5/30
,,,,,,
棒骨,10,10.5,11,猪肉类,斤,2021/5/30
,,,,,,
猪头,13,13.5,14,猪肉类,斤,2021/5/30
,,,,,,
猪耳,26,26,26,猪肉类,斤,2021/5/30
,,,,,,
猪肚,19,19.5,20,猪肉类,斤,2021/5/30
,,,,,,
猪板油,10,10.5,11,猪肉类,斤,2021/5/30
,,,,,,
肥膘肉,7,7.5,8,猪肉类,斤,2021/5/30
,,,,,,
猪腰子,20,20.5,21,猪肉类,斤,2021/5/30
,,,,,,
猪心,10,10,10,猪肉类,斤,2021/5/30
,,,,,,
猪肝,9.5,9.75,10,猪肉类,斤,2021/5/30
,,,,,,
猪皮,3,4.5,6,猪肉类,斤,2021/5/30
,,,,,,
猪肠,21,21.5,22,猪肉类,斤,2021/5/30
,,,,,,
整牛,34.25,34.25,34.25,牛肉类,斤,2021/5/30
,,,,,,
牛前腱,37,37,37,牛肉类,斤,2021/5/30
,,,,,,
羊蝎子（精品）,30,30.5,31,羊肉类,斤,2021/5/30
,,,,,,
羊排骨,30,30,30,羊肉类,斤,2021/5/30
,,,,,,
羊尾巴油,9,9,9,羊肉类,斤,2021/5/30
,,,,,,
羊小腿（羊棒）,24,24.5,25,羊肉类,斤,2021/5/30
,,,,,,
羊上脑,40,40,40,羊肉类,斤,2021/5/30
,,,,,,
羊骨头,10,10,10,羊肉类,斤,2021/5/30
,,,,,,
羊腩,30,30,30,羊肉类,斤,2021/5/30
,,,,,,
羊里脊,40,40,40,羊肉类,斤,2021/5/30
,,,,,,
淘汰鸡（干净膛）,11,11,11,禽肉类,斤,2021/5/30
,,,,,,
淘汰鸡（净膛）,10,10,10,禽肉类,斤,2021/5/30
,,,,,,
仔鸡（净膛）,7.5,7.5,7.5,禽肉类,斤,2021/5/30
,,,,,,
肉鸡,6.5,6.5,6.5,禽肉类,斤,2021/5/30
,,,,,,
鸡胸,7.5,7.5,7.5,禽肉类,斤,2021/5/30
,,,,,,
鸡翅,10,10.5,11,禽肉类,斤,2021/5/30
,,,,,,
鸡翅中,21,21,21,禽肉类,斤,2021/5/30
,,,,,,
鸡边腿,7,7,7,禽肉类,斤,2021/5/30
,,,,,,
鸡排腿,7.5,7.5,7.5,禽肉类,斤,2021/5/30
,,,,,,
鸡琵琶腿,7.5,7.75,8,禽肉类,斤,2021/5/30
,,,,,,
鸡爪,16,16,16,禽肉类,斤,2021/5/30
,,,,,,
鸡头,2,2.25,2.5,禽肉类,斤,2021/5/30
,,,,,,
丰水梨,2.5,2.75,3,梨类,斤,2021/5/30
,,,,,,
酥梨,1.5,1.65,1.8,梨类,斤,2021/5/30
,,,,,,
库尔勒香梨,3,3.5,4,梨类,斤,2021/5/30
,,,,,,
红香酥梨系列,1.5,1.75,2,梨类,斤,2021/5/30
,,,,,,
红啤梨,3,3.25,3.5,梨类,斤,2021/5/30
,,,,,,
蜜梨,2,2.25,2.5,梨类,斤,2021/5/30
,,,,,,
耙耙柑、丑橘,2,2.5,3,柑橘类,斤,2021/5/30
,,,,,,
鄂、湘、川脐橙,1.5,2.1,2.7,柑橘类,斤,2021/5/30
,,,,,,
沃柑,3.5,4,4.5,柑橘类,斤,2021/5/30
,,,,,,
金桔,5,6,7,柑橘类,斤,2021/5/30
,,,,,,
伦晚,1.8,2.4,3,柑橘类,斤,2021/5/30
,,,,,,
油桃,2,5,8,桃李杏类,斤,2021/5/30
,,,,,,
蟠桃,4.5,7.25,10,桃李杏类,斤,2021/5/30
,,,,,,
水蜜桃,10,12,14,桃李杏类,斤,2021/5/30
,,,,,,
春雪,2.8,5.4,8,桃李杏类,斤,2021/5/30
,,,,,,
黄油桃,4,6,8,桃李杏类,斤,2021/5/30
,,,,,,
黄毛桃,10,11,12,桃李杏类,斤,2021/5/30
,,,,,,
突围,3,3.75,4.5,桃李杏类,斤,2021/5/30
,,,,,,
猕猴桃（徐香翠香）,2.5,3,3.5,桃李杏类,斤,2021/5/30
,,,,,,
猕猴桃（海沃德）,2,2.25,2.5,桃李杏类,斤,2021/5/30
,,,,,,
大蒜,2.5,3,3.5,普通,斤,2021/5/30
,,,,,,
椰青个,6,6.25,6.5,其他类,斤,2021/5/30
,,,,,,
箱装菠萝（上六下六）,1.2,1.4,1.6,其他类,斤,2021/5/30
,,,,,,
国产凤梨,1.6,2,2.4,其他类,斤,2021/5/30
,,,,,,
香水菠萝,3,3.25,3.5,其他类,斤,2021/5/30
,,,,,,
百香果,12,12.5,13,其他类,斤,2021/5/30
,,,,,,
桑葚,3.5,4,4.5,其他类,斤,2021/5/30
,,,,,,
白草莓（日本淡雪）,12,14,16,其他类,斤,2021/5/30
,,,,,,
红颜九九草莓,7,8,9,其他类,斤,2021/5/30
,,,,,,
杨梅,8,10,12,其他类,斤,2021/5/30
,,,,,,
火龙果,3,4.5,6,其他类,斤,2021/5/30
,,,,,,
木瓜,3,3.25,3.5,其他类,斤,2021/5/30
,,,,,,
柿饼,6,7,8,其他类,斤,2021/5/30
,,,,,,
柠檬,3.5,3.75,4,其他类,斤,2021/5/30
,,,,,,
黑枣,5,5.5,6,其他类,斤,2021/5/30
,,,,,,
山楂,4,5,6,其他类,斤,2021/5/30
,,,,,,
姑娘果（灯笼果）,10,15,20,其他类,斤,2021/5/30
,,,,,,
鸭梨,1.2,1.35,1.5,梨类,斤,2021/5/30
,,,,,,
雪花梨,1.4,1.5,1.6,梨类,斤,2021/5/30
,,,,,,
皇冠梨（标箱）,2.5,2.75,3,梨类,斤,2021/5/30
,,,,,,
牛后腱,37,37,37,牛肉类,斤,2021/5/30
,,,,,,
牛前腿,35,35,35,牛肉类,斤,2021/5/30
,,,,,,
牛后腿,35,35,35,牛肉类,斤,2021/5/30
,,,,,,
牛柳（里脊）,37,37.5,38,牛肉类,斤,2021/5/30
,,,,,,
精牛柳,41,42,43,牛肉类,斤,2021/5/30
,,,,,,
牛腩,35,35,35,牛肉类,斤,2021/5/30
,,,,,,
大白菜,0.3,0.33,0.35,储存新,斤,2021/5/29
,,,,,,
娃娃菜,0.5,0.55,0.6,大小,斤,2021/5/29
,,,,,,
小白菜,0.6,0.65,0.7,普通,斤,2021/5/29
,,,,,,
芹菜,0.7,0.85,1,冀,斤,2021/5/29
,,,,,,
西芹,1.8,2,2.2,普通,斤,2021/5/29
,,,,,,
